element,count,cluster
background,1004,no_clothing
skin,1003,no_clothing
hair,960,no_clothing
shoes,775,footwear
bag,443,accessories
pants,302,lower_wear
sunglasses,293,accessories
dress,271,one_piece_wear
purse,234,accessories
coat,232,upper_wear
accessories,223,accessories
blouse,220,upper_wear
belt,195,accessories
shirt,182,upper_wear
skirt,167,lower_wear
jeans,155,lower_wear
sweater,119,upper_wear
hat,108,accessories
t-shirt,97,upper_wear
blazer,96,upper_wear
stockings,91,lower_wear
suit,90,one_piece_wear
bracelet,78,accessories
scarf,74,accessories
jacket,73,upper_wear
sandals,67,footwear
socks,61,footwear
shorts,59,lower_wear
vest,58,upper_wear
boots,57,footwear
top,55,upper_wear
leggings,47,lower_wear
sweatshirt,43,upper_wear
necklace,35,accessories
watch,34,accessories
cape,26,upper_wear
romper,25,one_piece_wear
loafers,22,footwear
wallet,22,accessories
tie,21,accessories
jumper,21,upper_wear
glasses,20,accessories
heels,19,footwear
gloves,15,accessories
pumps,13,footwear
sneakers,13,footwear
cardigan,12,upper_wear
flats,10,footwear
ring,9,accessories
bodysuit,9,one_piece_wear
tights,8,lower_wear
wedges,2,footwear
hoodie,2,upper_wear
bra,2,upper_wear
earrings,1,accessories
