class_name,array,cluster,cluster_array
background,[69  6 90],no_clothing,[69  6 90]
accessories,[70 12 95],accessories,[70 12 95]
bag,[ 71  18 101],accessories,[70 12 95]
belt,[ 72  25 107],accessories,[70 12 95]
blazer,[ 72  30 112],upper_wear,[ 72  30 112]
blouse,[ 72  35 116],upper_wear,[ 72  30 112]
bodysuit,[ 71  40 120],one_piece_wear,[ 71  40 120]
boots,[ 70  47 124],footwear,[ 70  47 124]
bra,[ 69  52 127],upper_wear,[ 72  30 112]
bracelet,[ 68  57 130],accessories,[70 12 95]
cape,[ 66  61 132],upper_wear,[ 72  30 112]
cardigan,[ 64  67 135],upper_wear,[ 72  30 112]
clogs,[ 62  72 136],footwear,[ 70  47 124]
coat,[ 61  76 137],upper_wear,[ 72  30 112]
dress,[ 58  82 139],one_piece_wear,[ 71  40 120]
earrings,[ 56  86 139],accessories,[70 12 95]
flats,[ 54  90 140],footwear,[ 70  47 124]
glasses,[ 52  94 141],accessories,[70 12 95]
gloves,[ 50  99 141],accessories,[70 12 95]
hair,[ 48 103 141],no_clothing,[69  6 90]
hat,[ 46 107 142],accessories,[70 12 95]
heels,[ 45 111 142],footwear,[ 70  47 124]
hoodie,[ 43 116 142],upper_wear,[ 72  30 112]
intimate,[ 41 120 142],accessories,[70 12 95]
jacket,[ 40 123 142],upper_wear,[ 72  30 112]
jeans,[ 38 127 142],lower_wear,[ 38 127 142]
jumper,[ 36 132 141],upper_wear,[ 72  30 112]
leggings,[ 35 136 141],lower_wear,[ 38 127 142]
loafers,[ 34 139 141],footwear,[ 70  47 124]
necklace,[ 32 144 140],accessories,[70 12 95]
panties,[ 31 148 139],lower_wear,[ 38 127 142]
pants,[ 30 152 138],lower_wear,[ 38 127 142]
pumps,[ 30 155 137],footwear,[ 70  47 124]
purse,[ 30 160 135],accessories,[70 12 95]
ring,[ 32 164 133],accessories,[70 12 95]
romper,[ 34 167 132],one_piece_wear,[ 71  40 120]
sandals,[ 37 171 129],footwear,[ 70  47 124]
scarf,[ 42 176 126],accessories,[70 12 95]
shirt,[ 47 179 123],upper_wear,[ 72  30 112]
shoes,[ 53 183 120],footwear,[ 70  47 124]
shorts,[ 59 186 117],lower_wear,[ 38 127 142]
skin,[ 68 190 112],no_clothing,[69  6 90]
skirt,[ 75 194 108],lower_wear,[ 38 127 142]
sneakers,[ 83 197 103],footwear,[ 70  47 124]
socks,[ 94 201  97],footwear,[ 70  47 124]
stockings,[103 204  92],lower_wear,[ 38 127 142]
suit,[112 206  86],one_piece_wear,[ 71  40 120]
sunglasses,[121 209  81],accessories,[70 12 95]
sweater,[134 212  73],upper_wear,[ 72  30 112]
sweatshirt,[144 214  67],upper_wear,[ 72  30 112]
swimwear,[154 216  60],one_piece_wear,[ 71  40 120]
t-shirt,[165 218  53],upper_wear,[ 72  30 112]
tie,[178 221  44],accessories,[70 12 95]
tights,[189 222  38],lower_wear,[ 38 127 142]
top,[199 224  31],upper_wear,[ 72  30 112]
vest,[210 225  27],upper_wear,[ 72  30 112]
wallet,[223 227  24],accessories,[70 12 95]
watch,[233 228  25],accessories,[70 12 95]
wedges,[243 229  30],footwear,[ 70  47 124]
